L,P,frag,role,semantic_transfer,kl_from_A,kl_from_B,p_B,p_A,argmax_is_B,mean_cos_finalpos,mean_distimprove_finalpos
8,20, blue,fact_value,27.5423526763916,12.573045475730513,7.994953964343997e-07,0.9999115051047934,3.463398884843091e-06,True,0.7775702476501465,0.5366364121437073
7,20, blue,fact_value,27.487258911132812,12.517952818596836,3.5737036288789384e-07,0.9999091924316205,3.65955624647772e-06,True,0.7749195098876953,0.5361983180046082
4,20, blue,fact_value,27.478708267211914,12.509405444161846,3.450669426217158e-08,0.9999022660626461,3.6909564050514056e-06,True,0.7976557016372681,0.57682865858078
2,20, blue,fact_value,27.47179412841797,12.502491047385904,7.825647674454438e-08,0.9999048617012735,3.716574265069384e-06,True,0.8730458617210388,0.6475270986557007
9,20, blue,fact_value,27.46969985961914,12.500395046163229,2.993581290227926e-07,0.9999083809114552,3.7243790347338734e-06,True,0.7596191167831421,0.5267331600189209
3,20, blue,fact_value,27.46326446533203,12.493962297871724,1.0265976334317824e-07,0.999900792169047,3.7483957208415625e-06,True,0.801722526550293,0.5825886130332947
11,20, blue,fact_value,27.44420623779297,12.4748978895456,9.091646701722893e-07,0.999914021993501,3.820569133161411e-06,True,0.7596814036369324,0.5137555599212646
27,42,"
",assistant_prefix,27.43707275390625,12.467770187487888,0.0,0.999903342753219,3.847879444537917e-06,True,0.0,0.0
0,20, blue,fact_value,27.433645248413086,12.464342356230615,1.8703983040582236e-08,0.9999044651551648,3.861095034478104e-06,True,0.93959641456604,0.7498047351837158
1,20, blue,fact_value,27.427783966064453,12.458481443095296,1.5884003038225514e-08,0.9999041454859119,3.883791214019433e-06,True,0.8839805126190186,0.6608401536941528
5,20, blue,fact_value,27.412124633789062,12.442821675191615,9.139133735123662e-08,0.9999024729342764,3.9450808687786615e-06,True,0.7929726839065552,0.5666642189025879
6,20, blue,fact_value,27.408405303955078,12.439103517042085,8.432181485190345e-08,0.9999013923542758,3.95977696730413e-06,True,0.7995065450668335,0.5673743486404419
10,20, blue,fact_value,27.386598587036133,12.417291547719017,4.0750717959389393e-07,0.9999109407133439,4.047113732710037e-06,True,0.7284187078475952,0.5062606930732727
12,20, blue,fact_value,27.294710159301758,12.325400407754097,1.150349892507239e-06,0.9999112439713059,4.436619441914983e-06,True,0.7537633180618286,0.5217326879501343
13,20, blue,fact_value,27.116792678833008,12.147483003715536,2.1330352385141328e-06,0.999915225974198,5.300568941782935e-06,True,0.7547937631607056,0.5233243703842163
14,20, blue,fact_value,27.095521926879883,12.126213936911935,1.8068126858892319e-06,0.999913467144611,5.414514159962261e-06,True,0.7990702390670776,0.5577360391616821
15,20, blue,fact_value,27.045448303222656,12.076139371589226,2.5793817343503674e-06,0.9999146676677306,5.692548162189711e-06,True,0.8201662302017212,0.5770871639251709
18,20, blue,fact_value,26.942262649536133,11.972945292383743,8.510542297213266e-06,0.9999270468204121,6.311390478548425e-06,True,0.852100670337677,0.631836473941803
16,20, blue,fact_value,26.933883666992188,11.964571795364277,5.269468659725779e-06,0.9999202474739114,6.364452404717472e-06,True,0.7695756554603577,0.5436503887176514
17,20, blue,fact_value,26.926057815551758,11.95674199235982,7.697678221143405e-06,0.9999264658302441,6.414494955785103e-06,True,0.7903978824615479,0.5757297277450562
19,20, blue,fact_value,26.86256980895996,11.893253496045785,9.5285448089379e-06,0.9999265783099502,6.83494474084682e-06,True,0.9154783487319946,0.6922814846038818
20,20, blue,fact_value,26.286378860473633,11.317078026485412,1.565428568515132e-05,0.9999174618305532,1.2160952653754606e-05,True,0.9455113410949707,0.7127549648284912
21,20, blue,fact_value,25.3900146484375,10.420748442535695,3.4134887223769207e-05,0.9998908024810683,2.9801769377611874e-05,True,0.9282416701316833,0.6281389594078064
26,42,"
",assistant_prefix,22.929075241088867,7.960194126872802,0.00033916242542712636,0.9995349104506205,0.00034902766204289795,True,0.9736852645874023,0.7718511819839478
23,42,"
",assistant_prefix,20.256649017333984,5.2924852167526835,0.005021758632605476,0.9948679198972404,0.005028602074960373,True,0.9625194072723389,0.7344989776611328
24,42,"
",assistant_prefix,20.250356674194336,5.286244592293999,0.005071816735351177,0.994808907619375,0.005060043361185761,True,0.9662256240844727,0.751248836517334
25,42,"
",assistant_prefix,19.245393753051758,4.29013884851282,0.013901447393496297,0.9860365042068358,0.013701162512741298,True,0.9613111019134521,0.7267324328422546
22,20, blue,fact_value,16.166488647460938,1.4620724647568235,0.2647100241793282,0.7672983863712465,0.23172890361515355,True,0.8240159153938293,0.35365912318229675
22,42,"
",assistant_prefix,9.586841583251953,0.004687910307074276,5.386832979640322,0.004575253173748277,0.9952575155385395,False,0.843575656414032,0.4003680646419525
25,20, blue,fact_value,7.547023773193359,0.0007197075075893822,7.422660068646366,0.0005973887556216832,0.9992151212234988,False,0.26679807901382446,0.03440132737159729
24,20, blue,fact_value,7.139469146728516,0.0004323164631728822,7.829923715766054,0.0003975468950678832,0.9995143762010765,False,-0.0049744099378585815,-0.01475096307694912
23,20, blue,fact_value,6.510080337524414,0.00022885999009370002,8.459099535185564,0.0002119040404020765,0.9997237360571734,False,-0.16857387125492096,-0.043351978063583374
26,20, blue,fact_value,3.572633743286133,2.317860099284819e-05,11.396280423506576,1.123343133384629e-05,0.9999310346522517,False,0.16379386186599731,0.012202574871480465
21,42,"
",assistant_prefix,1.2706298828125,1.6958584049665565e-06,13.698197608965678,1.1240313322200711e-06,0.9999622474505001,False,0.4575548768043518,0.0971505343914032
23,41,assistant,chat_template,0.2931652069091797,6.242434533044079e-08,14.675668506533409,4.2293563748529647e-07,0.9999700276086341,False,0.25385820865631104,0.009623982943594456
24,41,assistant,chat_template,0.2884368896484375,3.6914777578799816e-08,14.68039925089121,4.20940768471684e-07,0.999970465950265,False,0.1793205440044403,0.005364308133721352
20,42,"
",assistant_prefix,0.2870941162109375,1.5686255954216724e-06,14.681712053503823,4.2037260684744527e-07,0.9999625854785098,False,0.2092008739709854,0.04000915214419365
25,41,assistant,chat_template,0.2779521942138672,3.7374852481706e-08,14.690883728525211,4.16550420448823e-07,0.9999705418448417,False,0.27623632550239563,0.0078926682472229
22,41,assistant,chat_template,0.16575050354003906,1.3513691126656087e-08,14.803079817515906,3.72339428645176e-07,0.9999706015817138,False,0.16680844128131866,0.005121130961924791
26,41,assistant,chat_template,0.15821266174316406,2.240663728980572e-08,14.810620231958191,3.6954340913126903e-07,0.9999707767505346,False,0.29502493143081665,0.008650774136185646
8,21,.,content,0.14979171752929688,1.6945929089553769e-06,14.8190379141496,3.664416529532633e-07,0.9999628149863972,False,0.27875518798828125,0.04966244474053383
23,37,.,content,0.13323211669921875,1.6876166222483535e-08,14.835596795958901,3.6042623620240933e-07,0.9999704281211844,False,0.2275669276714325,0.004749994724988937
21,37,.,content,0.13179779052734375,2.2571377103266013e-07,14.83702725591905,3.5991060435102524e-07,0.9999731130448991,False,0.18036699295043945,0.009345286525785923
7,21,.,content,0.1297130584716797,1.0763100987877196e-06,14.839115451790132,3.5915809219863326e-07,0.9999648257875109,False,0.3139928877353668,0.059177376329898834
9,21,.,content,0.12408638000488281,5.980726816852745e-07,14.844746459875239,3.571436993126132e-07,0.9999670642556301,False,0.23684020340442657,0.03189774975180626
22,37,.,content,0.12035369873046875,2.844801029969761e-08,14.84847381451201,3.5581464011986935e-07,0.9999714469555356,False,0.18253928422927856,0.004492869600653648
25,37,.,content,0.10906600952148438,1.4542334280469162e-08,14.859763108220696,3.518205254184805e-07,0.999970389360991,False,0.20274144411087036,0.003250769805163145
15,42,"
",assistant_prefix,0.09900665283203125,5.976438267840865e-07,14.869809438531137,3.4829756560339644e-07,0.9999657595790967,False,0.3174239695072174,0.10792410373687744
24,37,.,content,0.0844268798828125,3.865133694869858e-09,14.884401936233166,3.4325806856061077e-07,0.9999708951245592,False,0.03860047459602356,0.0010397331789135933
26,37,.,content,0.07757759094238281,1.1272691686845178e-08,14.891250601375445,3.4091487302643626e-07,0.9999704402389178,False,0.16113412380218506,0.0025259500835090876
20,37,.,content,0.07032585144042969,1.3495606095151858e-07,14.898495616422087,3.384519796568878e-07,0.9999715929308366,False,0.11086589097976685,0.0037269354797899723
14,35, lowercase,content,0.06521034240722656,2.7440327225689422e-08,14.903610571231246,3.3672467134499267e-07,0.9999704793236462,False,0.1284048706293106,0.009143047966063023
13,35, lowercase,content,0.059783935546875,2.7682795953409523e-08,14.909036819741413,3.349024779655172e-07,0.9999706676214016,False,0.13388888537883759,0.00930739101022482
13,22, Question,content,0.057098388671875,2.3261143793795308e-07,14.91172615163697,3.340034424210524e-07,0.9999681352538661,False,0.16298794746398926,0.0115936528891325
11,35, lowercase,content,0.055145263671875,3.22258247115588e-08,14.913675084504037,3.333525729257719e-07,0.9999706680285982,False,0.10144534707069397,0.007198010571300983
12,35, lowercase,content,0.05473899841308594,3.1261023203423805e-08,14.914081635089214,3.332172233716355e-07,0.9999708256050873,False,0.11298483610153198,0.007805045694112778
19,35, lowercase,content,0.04961967468261719,1.8133869387271715e-08,14.919204042120496,3.3151598689123276e-07,0.9999715839450533,False,0.09060552716255188,0.007032257504761219
14,42,"
",assistant_prefix,0.04871368408203125,1.0318911802819065e-07,14.92011420859614,3.3121513196907805e-07,0.9999696500030024,False,0.13909971714019775,0.02177366428077221
18,35, lowercase,content,0.0475921630859375,1.108516905948828e-08,14.921231434954475,3.308444478912583e-07,0.9999713801382208,False,0.07819249480962753,0.005696134176105261
14,22, Question,content,0.042255401611328125,1.3140971560673148e-07,14.92657051092718,3.2908275645685815e-07,0.9999690812284652,False,0.09417842328548431,0.002904031192883849
6,21,.,content,0.03997802734375,1.0057079794012927e-08,14.928848271853068,3.2833471348638207e-07,0.9999707529355263,False,0.3021796941757202,0.03588183969259262
11,21,.,content,0.038791656494140625,3.048802973327543e-07,14.93004080257661,3.279447043799788e-07,0.9999685778089988,False,0.23977769911289215,0.03785291686654091
17,35, lowercase,content,0.038433074951171875,1.3416318576222926e-08,14.930390359010689,3.2782807141114406e-07,0.9999714477317551,False,0.07058002799749374,0.005129081197082996
10,30,?,question_end,0.03837776184082031,2.0956016987402096e-07,14.930442091570274,3.278088014156433e-07,0.9999679784219643,False,0.20904043316841125,0.026250915601849556
16,35, lowercase,content,0.038055419921875,8.81365260123848e-09,14.93076770656903,3.2770420852426503e-07,0.9999712025726404,False,0.05733535811305046,0.003943099174648523
1,21,.,content,0.0331573486328125,2.9275392428932162e-08,14.935666906519453,3.261026199616523e-07,0.9999699926527188,False,0.25028568506240845,0.03192836046218872
10,21,.,content,0.029541015625,4.764773753511592e-07,14.939290204663845,3.2492461886481603e-07,0.9999674222229022,False,0.21482637524604797,0.03131156787276268
15,36, word,content,0.029069900512695312,1.1081494776358441e-07,14.939754990378658,3.247721663095644e-07,0.9999692335609992,False,0.08170612901449203,0.005462455563247204
2,23,:,content,0.027486801147460938,4.0196790870054494e-08,14.941339409478447,3.2425873046722355e-07,0.9999701710870564,False,0.2245609164237976,0.02421071007847786
10,35, lowercase,content,0.027261734008789062,1.360544151500864e-07,14.941555974137465,3.241862265539858e-07,0.9999716142268855,False,0.14137744903564453,0.0075442977249622345
13,42,"
",assistant_prefix,0.026727676391601562,1.6403026015250897e-08,14.942101350270965,3.2401325521276594e-07,0.9999719739517424,False,0.17602771520614624,0.04443188011646271
11,22, Question,content,0.026409149169921875,2.2853629637531122e-08,14.942415365856267,3.2390947093871773e-07,0.9999701411873867,False,0.0737924799323082,0.003165606642141938
12,22, Question,content,0.024684906005859375,2.2749424406473063e-08,14.94413948378915,3.233514502002805e-07,0.9999701310916989,False,0.07756005972623825,0.0033328873105347157
9,31, Reply,content,0.024385452270507812,2.346278713856748e-08,14.944440258141647,3.2325470883815405e-07,0.9999703567307302,False,0.06945020705461502,0.0009780969703570008
15,35, lowercase,content,0.023538589477539062,9.156185696393921e-08,14.945283234477063,3.2298168946398896e-07,0.9999722674014191,False,0.11673867702484131,0.008590778335928917
