L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
22,50,"
",assistant_prefix,30.708391189575195,1.001303183445677,True,14.396564103302433,1.0833012393344694e-07,0.999998121517039,5.592477981953814e-07,0.9988594055175781,0.9522162675857544
3,20,1,source_value,30.70317268371582,1.0011330245305594,True,14.39134575513643,9.179589754672794e-09,0.9999978277096158,5.621736991421204e-07,0.8032517433166504,0.5502711534500122
2,20,1,source_value,30.68842887878418,1.0006522758412837,True,14.376601785655769,4.393889630520731e-09,0.9999977626647397,5.705236453939297e-07,0.7883433103561401,0.5448669195175171
23,50,"
",assistant_prefix,30.669038772583008,1.000020026012671,True,14.357210686426725,1.338623175735731e-08,0.999997786260243,5.816941214356206e-07,0.9993095397949219,0.9634311199188232
27,50,"
",assistant_prefix,30.668424606323242,1.0,True,14.356597272918624,0.0,0.9999976648477014,5.820514174000334e-07,0.0,0.0
4,20,1,source_value,30.661712646484375,0.9997811442900956,True,14.349888185590553,1.196152435924705e-07,0.9999982076675832,5.859715814237794e-07,0.6923552751541138,0.42823758721351624
0,20,1,source_value,30.658063888549805,0.9996621698732023,True,14.346236573684932,4.813211018486844e-10,0.999997652138094,5.88113228561551e-07,0.9695637822151184,0.8087230920791626
7,20,1,source_value,30.6571102142334,0.999631073580235,True,14.345286572882678,1.7141994315527966e-07,0.9999982998514781,5.886747458638993e-07,0.7667267918586731,0.4885346591472626
24,50,"
",assistant_prefix,30.610342025756836,0.9981061113731147,True,14.298515096500873,4.75181560086614e-08,0.999997877422245,6.168596849302401e-07,0.999690055847168,0.9767188429832458
26,50,"
",assistant_prefix,30.58942985534668,0.9974242318609259,True,14.277603257520362,5.5454698851167e-08,0.9999978675168546,6.298953808944805e-07,0.9995274543762207,0.9691874384880066
25,50,"
",assistant_prefix,30.587717056274414,0.9973683829187565,True,14.27589012956318,3.822976371930171e-08,0.9999977972198199,6.309751452464126e-07,0.9997186660766602,0.9789162874221802
1,20,1,source_value,30.585134506225586,0.9972841741574009,True,14.273307829156375,5.912355458452954e-09,0.9999975790247408,6.326066380839245e-07,0.8065057992935181,0.5703142881393433
6,20,1,source_value,30.538463592529297,0.9957623837721632,True,14.226640613909684,1.4634440728106078e-07,0.9999981553128758,6.628311580225201e-07,0.7116265296936035,0.45535674691200256
5,20,1,source_value,30.52801513671875,0.9954216927864126,True,14.216192331882779,1.525391300687948e-07,0.9999981572925961,6.697930284682833e-07,0.70579594373703,0.43702054023742676
8,20,1,source_value,30.503150939941406,0.994610950236167,True,14.191330415647458,3.8381353355286137e-07,0.9999984197185832,6.866558435229519e-07,0.6639860272407532,0.37793242931365967
11,20,1,source_value,30.430986404418945,0.9922578937473253,True,14.11916777460128,5.41279762164192e-07,0.9999984733706262,7.380398351458131e-07,0.6526475548744202,0.4076707363128662
9,20,1,source_value,30.296524047851562,0.9878735030166825,True,13.984705522539302,4.452318956292094e-07,0.9999982651220465,8.442595310950456e-07,0.6133209466934204,0.37435272336006165
10,20,1,source_value,30.284435272216797,0.987479326407028,True,13.972617092644848,4.7512222703640417e-07,0.999998277096512,8.545275441219231e-07,0.6628134846687317,0.3960779011249542
14,20,1,source_value,29.871410369873047,0.974011895078371,True,13.559596648823112,7.715801108469653e-07,0.9999978653277253,1.2915175829521013e-06,0.683679461479187,0.4448821246623993
13,20,1,source_value,29.84682273864746,0.973210170453086,True,13.535009187221293,7.810588538207966e-07,0.9999978259280243,1.3236665027578924e-06,0.6363837718963623,0.4147959053516388
15,20,1,source_value,29.793073654174805,0.9714575833814445,True,13.481260519352233,8.156416432654275e-07,0.9999977325951576,1.3967589691668964e-06,0.7270975112915039,0.4781906306743622
16,20,1,source_value,29.75625991821289,0.9702572042803177,True,13.44444735813894,8.765682754715025e-07,0.9999976884502983,1.4491370228600032e-06,0.754561722278595,0.5155171751976013
17,20,1,source_value,29.755434036254883,0.9702302748906079,True,13.44362166517057,9.02149993863742e-07,0.9999977073769172,1.4503343607823574e-06,0.8362601399421692,0.5658503174781799
12,20,1,source_value,29.632226943969727,0.9662128826095661,True,13.3204142103656,8.382240323985078e-07,0.9999973384015612,1.6404996282344063e-06,0.6620391607284546,0.4018452763557434
18,20,1,source_value,29.35675621032715,0.9572306561933522,True,13.04494647587914,1.2846776234489624e-06,0.9999967350187755,2.1607836937214986e-06,0.826869547367096,0.5881924033164978
19,20,1,source_value,29.124197006225586,0.9496476385754987,True,12.812389721920816,1.7259065088889056e-06,0.99999612322384,2.726529539007066e-06,0.8938390612602234,0.6474956274032593
20,20,1,source_value,25.67701530456543,0.83724598293423,True,9.36531169171375,8.709640937092955e-05,0.9999056186321995,8.563728510640881e-05,0.8449556231498718,0.6041179895401001
21,20,1,source_value,25.53960418701172,0.832765442465732,True,9.227914663802448,0.00010099909724018753,0.9998913641629589,9.825023313514935e-05,0.9649432897567749,0.6990910768508911
