L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
22,50,"
",assistant_prefix,30.818683624267578,1.0048994697273546,True,16.461937167938547,4.889250067153662e-07,7.09005292884313e-08,0.999990974239171,0.9991070032119751,0.9571978449821472
23,50,"
",assistant_prefix,30.70635986328125,1.0012369483416566,True,16.349613818668825,1.0816466010790432e-07,7.932882373762248e-08,0.9999908542068906,0.9992201328277588,0.9603559970855713
25,50,"
",assistant_prefix,30.699338912963867,1.0010080174328306,True,16.342593097764617,4.26394357010021e-07,7.988772332062327e-08,0.9999905545593725,0.9998223185539246,0.982936441898346
26,50,"
",assistant_prefix,30.698637008666992,1.0009851305612065,True,16.341891494983336,5.688236107201243e-07,7.994378734870455e-08,0.9999901894073963,0.999678373336792,0.9746336340904236
27,50,"
",assistant_prefix,30.668424606323242,1.0,True,16.311678237713913,0.0,8.239604081185619e-08,0.9999914448606257,0.0,0.0
24,50,"
",assistant_prefix,30.66673469543457,0.9999448973688618,True,16.30998906882178,4.657763418183254e-07,8.25353148147651e-08,0.9999904067306948,0.9998296499252319,0.9831358790397644
0,20,1,source_value,30.6419677734375,0.9991373266404989,True,16.28522113013636,2.4608129421827704e-08,8.460510802496205e-08,0.9999918679452076,0.9694406986236572,0.8174088597297668
1,20,1,source_value,30.568206787109375,0.9967322149572299,True,16.21146036901838,2.9874844211895044e-08,9.108157721231762e-08,0.9999917961081071,0.8354661464691162,0.636159360408783
2,20,1,source_value,30.511486053466797,0.994882731836702,True,16.15474167693292,2.2854203426356447e-07,9.639689088730566e-08,0.9999894535519497,0.8246976137161255,0.6132586598396301
3,20,1,source_value,30.455827713012695,0.9930678899865396,True,16.09908389115152,3.4558518231529256e-07,1.0191425019191512e-07,0.9999889395313722,0.8402512073516846,0.620776355266571
4,20,1,source_value,30.415428161621094,0.9917505888238555,True,16.058686549557358,1.1618372434475262e-06,1.0611557555469544e-07,0.9999864484022226,0.6886911392211914,0.43497350811958313
8,20,1,source_value,30.37364959716797,0.9903883224215405,True,16.016906308928732,6.830171231786093e-07,1.1064307842011665e-07,0.9999885590961377,0.6602385640144348,0.38351404666900635
9,20,1,source_value,30.248371124267578,0.9863033889921735,True,15.891628321903625,9.95467282094266e-07,1.2540993200326793e-07,0.9999884031147044,0.6300080418586731,0.3772203326225281
6,20,1,source_value,30.231689453125,0.9857594526355881,True,15.874947502609473,8.660315304904379e-07,1.2751938425630013e-07,0.9999872907706129,0.7042532563209534,0.46348708868026733
5,20,1,source_value,30.230825424194336,0.9857312793941596,True,15.874083810155954,9.98877990351827e-07,1.2762956409228722e-07,0.999986913006613,0.6993910670280457,0.4462321996688843
10,20,1,source_value,30.23036003112793,0.9857161044031916,True,15.873617961987705,1.2513868373345524e-06,1.276890649252558e-07,0.9999876107471328,0.6769870519638062,0.3976093828678131
7,20,1,source_value,30.143104553222656,0.9828709801744341,True,15.78636208135937,6.296286413396977e-07,1.393312388553718e-07,0.9999881160379799,0.7592689394950867,0.49284252524375916
11,20,1,source_value,30.060827255249023,0.9801881785949662,True,15.70408561850603,1.3001942794518675e-06,1.5127976197261876e-07,0.9999875573922559,0.66518634557724,0.4081991910934448
14,20,1,source_value,29.69336700439453,0.9682064659517049,True,15.336631499631816,4.945663334698995e-06,2.184561806066791e-07,0.9999819036987985,0.6842357516288757,0.4215875566005707
13,20,1,source_value,29.677387237548828,0.9676854164667434,True,15.320651583892905,4.749210635423633e-06,2.219751374515037e-07,0.99998207098793,0.634251594543457,0.3937339186668396
12,20,1,source_value,29.627437591552734,0.9660567170262839,True,15.270699267874782,3.076061926952626e-06,2.3334500337183284e-07,0.9999851023785582,0.6615139842033386,0.3920697867870331
15,20,1,source_value,29.617610931396484,0.965736300823548,True,15.260875600828298,4.971472291779236e-06,2.3564855500136457e-07,0.9999819040810859,0.7283303141593933,0.4556962251663208
16,20,1,source_value,29.598613739013672,0.9651168626676377,True,15.241879507201698,5.590578813733761e-06,2.401677299328323e-07,0.9999807443015037,0.755603015422821,0.4921165108680725
17,20,1,source_value,29.586206436157227,0.9647122998961322,True,15.229472672364118,5.881329781842486e-06,2.4316601134772826e-07,0.9999802718450794,0.8372934460639954,0.5409076809883118
18,20,1,source_value,29.526885986328125,0.9627780482809751,True,15.17015361483928,7.20839843218847e-06,2.58026853291441e-07,0.9999790997164382,0.8272576332092285,0.5644080638885498
19,20,1,source_value,29.447187423706055,0.9601793310776912,True,15.090456522148276,8.18110507281709e-06,2.794325268133736e-07,0.9999777317953698,0.8950504064559937,0.6259348392486572
20,20,1,source_value,28.271099090576172,0.9218308228570441,True,13.914362356779701,5.747823737705175e-06,9.058367131880312e-07,0.9999876033231692,0.846408486366272,0.6059310436248779
21,20,1,source_value,28.22355842590332,0.9202806726526201,True,13.86682290609958,7.035477378307992e-06,9.49939896343638e-07,0.9999865927191736,0.963887095451355,0.7080720663070679
21,50,"
",assistant_prefix,2.3636341094970703,0.07707060730500433,False,5.901616157146119e-06,11.992984758246775,0.9999890353049903,6.186868058950226e-06,0.587621808052063,0.12069660425186157
20,50,"
",assistant_prefix,2.287811279296875,0.07459826543633977,False,5.441041512284362e-06,12.068806291205291,0.9999895086311616,5.7351082969881766e-06,0.6381340026855469,0.2084743082523346
12,26,4,operand,0.9365730285644531,0.03053867424188948,False,4.742393312020536e-07,13.42003471835683,0.9999970048555732,1.4849422453315943e-06,0.43332013487815857,0.06496305763721466
21,26,4,operand,0.8280658721923828,0.027000600220646858,False,3.6833730803416127e-07,13.52853951802682,0.9999968543531456,1.332249107920421e-06,0.3676306903362274,0.04246836155653
20,26,4,operand,0.80670166015625,0.0263039810655916,False,3.237860697313292e-07,13.549903245765336,0.9999968805947647,1.304088574980755e-06,0.35697153210639954,0.03964816778898239
13,26,4,operand,0.5567893981933594,0.01815513530090359,False,3.137990615059267e-07,13.799816246574206,0.9999978195664493,1.0157152699904637e-06,0.40868255496025085,0.06561004370450974
15,26,4,operand,0.5026016235351562,0.01638824393449703,False,4.4245924554387395e-07,13.85400485375312,0.9999980531027909,9.621407999674488e-07,0.38273856043815613,0.06831707060337067
9,26,4,operand,0.4640331268310547,0.015130647654310223,False,1.0179284788121162e-07,13.892568806133403,0.9999973158169413,9.257382873768006e-07,0.3955684006214142,0.048565223813056946
16,26,4,operand,0.3901786804199219,0.01272248853433034,False,4.05015691051735e-07,13.966426778244296,0.9999981608497915,8.598328125184914e-07,0.3735946714878082,0.06468044966459274
19,50,"
",assistant_prefix,0.38796424865722656,0.012650282942060082,False,1.8509339574546277e-07,13.968636266461173,0.9999970720097278,8.579299439058651e-07,0.4319261312484741,0.06811106204986572
18,50,"
",assistant_prefix,0.3796367645263672,0.012378750111868914,False,2.44167064075051e-07,13.97696373405688,0.9999970079383248,8.508151564278416e-07,0.4682943522930145,0.12893973290920258
14,26,4,operand,0.3532257080078125,0.011517569374430277,False,3.447328613622051e-07,14.00337907416796,0.9999981625588958,8.286393312229804e-07,0.3821350336074829,0.06692077219486237
