L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB
22,50,"
",assistant_prefix,30.708391189575195,1.001303183445677,True,16.461937167938547,4.889250067153662e-07,7.09005292884313e-08,0.999990974239171
23,50,"
",assistant_prefix,30.669038772583008,1.000020026012671,True,16.349613818668825,1.0816466010790432e-07,7.932882373762248e-08,0.9999908542068906
27,50,"
",assistant_prefix,30.668424606323242,1.0,True,16.311678237713913,0.0,8.239604081185619e-08,0.9999914448606257
0,20,1,source_value,30.6419677734375,0.9991373266404989,True,16.28522113013636,2.4608129421827704e-08,8.460510802496205e-08,0.9999918679452076
24,50,"
",assistant_prefix,30.610342025756836,0.9981061113731147,True,16.30998906882178,4.657763418183254e-07,8.25353148147651e-08,0.9999904067306948
26,50,"
",assistant_prefix,30.58942985534668,0.9974242318609259,True,16.341891494983336,5.688236107201243e-07,7.994378734870455e-08,0.9999901894073963
25,50,"
",assistant_prefix,30.587717056274414,0.9973683829187565,True,16.342593097764617,4.26394357010021e-07,7.988772332062327e-08,0.9999905545593725
1,20,1,source_value,30.568206787109375,0.9967322149572299,True,16.21146036901838,2.9874844211895044e-08,9.108157721231762e-08,0.9999917961081071
2,20,1,source_value,30.511486053466797,0.994882731836702,True,16.15474167693292,2.2854203426356447e-07,9.639689088730566e-08,0.9999894535519497
3,20,1,source_value,30.455827713012695,0.9930678899865396,True,16.09908389115152,3.4558518231529256e-07,1.0191425019191512e-07,0.9999889395313722
4,20,1,source_value,30.415428161621094,0.9917505888238555,True,16.058686549557358,1.1618372434475262e-06,1.0611557555469544e-07,0.9999864484022226
8,20,1,source_value,30.37364959716797,0.9903883224215405,True,16.016906308928732,6.830171231786093e-07,1.1064307842011665e-07,0.9999885590961377
9,20,1,source_value,30.248371124267578,0.9863033889921735,True,15.891628321903625,9.95467282094266e-07,1.2540993200326793e-07,0.9999884031147044
6,20,1,source_value,30.231689453125,0.9857594526355881,True,15.874947502609473,8.660315304904379e-07,1.2751938425630013e-07,0.9999872907706129
5,20,1,source_value,30.230825424194336,0.9857312793941596,True,15.874083810155954,9.98877990351827e-07,1.2762956409228722e-07,0.999986913006613
10,20,1,source_value,30.23036003112793,0.9857161044031916,True,15.873617961987705,1.2513868373345524e-06,1.276890649252558e-07,0.9999876107471328
7,20,1,source_value,30.143104553222656,0.9828709801744341,True,15.78636208135937,6.296286413396977e-07,1.393312388553718e-07,0.9999881160379799
11,20,1,source_value,30.060827255249023,0.9801881785949662,True,15.70408561850603,1.3001942794518675e-06,1.5127976197261876e-07,0.9999875573922559
14,20,1,source_value,29.69336700439453,0.9682064659517049,True,15.336631499631816,4.945663334698995e-06,2.184561806066791e-07,0.9999819036987985
13,20,1,source_value,29.677387237548828,0.9676854164667434,True,15.320651583892905,4.749210635423633e-06,2.219751374515037e-07,0.99998207098793
12,20,1,source_value,29.627437591552734,0.9660567170262839,True,15.270699267874782,3.076061926952626e-06,2.3334500337183284e-07,0.9999851023785582
