layer,BtoA_transfer,BtoA_flip,AtoB_transfer,AtoB_flip
0,-0.0008,False,0.0007,False
1,-0.0101,False,0.0090,False
2,-0.0063,False,0.0022,False
3,-0.0093,False,0.0039,False
4,-0.0048,False,-0.0136,False
5,-0.0082,False,-0.0200,False
6,-0.0194,False,-0.0287,False
7,-0.0293,False,-0.0117,False
8,-0.0272,False,-0.0400,False
9,0.0010,False,-0.0632,False
10,0.0099,False,0.0126,False
11,-0.0390,False,0.0858,False
12,-0.0322,False,0.1000,False
13,-0.0303,False,0.2472,False
14,0.0048,False,0.3618,False
15,0.0182,False,2.8083,False
16,3.0090,False,19.0692,True
17,16.1269,True,25.7396,True
18,20.2989,True,25.7571,True
19,20.3627,True,26.3089,True
20,25.4762,True,26.0385,True
21,25.6844,True,26.4558,True
22,26.3538,True,27.0491,True
23,27.5577,True,27.8624,True
24,29.0925,True,28.9034,True
25,29.1211,True,28.8729,True
26,29.1089,True,28.8793,True
27,28.9743,True,28.9743,True
