layer,BtoA_transfer,BtoA_flip,AtoB_transfer,AtoB_flip
0,29.0263,True,28.9690,True
1,28.5811,True,29.0666,True
2,28.5413,True,29.0563,True
3,28.5747,True,29.0583,True
4,27.5368,True,28.9124,True
5,26.3054,True,28.4930,True
6,26.3068,True,28.3401,True
7,25.8653,True,28.2351,True
8,22.5550,True,27.7552,True
9,19.5494,True,27.5667,True
10,16.1321,True,27.0108,True
11,14.7990,True,26.7736,True
12,0.3006,False,1.1782,False
13,0.1474,False,0.4844,False
14,0.1277,False,0.5318,False
15,0.1414,False,0.4645,False
16,0.0782,False,0.5927,False
17,0.0680,False,0.5605,False
18,0.1106,False,0.4576,False
19,0.0862,False,0.4275,False
20,0.1594,False,0.2503,False
21,0.1581,False,0.2882,False
22,0.0072,False,-0.1305,False
23,0.0517,False,-0.0517,False
24,0.0165,False,-0.1551,False
25,0.0760,False,-0.1606,False
26,0.0829,False,-0.1404,False
27,0.0000,False,0.0000,False
