L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
12,20,4,threshold,29.17882537841797,1.0070574493319981,True,13.757527327500306,2.864169689157758e-05,0.9995843334881713,1.0588294965175102e-06,0.9397682547569275,0.7457795143127441
13,20,4,threshold,29.17595672607422,1.0069584426833462,True,13.754536486975969,3.309780248069413e-05,0.9995628865058577,1.061848487640534e-06,0.9211471080780029,0.7359863519668579
14,20,4,threshold,29.13152503967285,1.0054249587203496,True,13.71010766642311,2.5291878910166596e-05,0.9995982381408612,1.1101313020982323e-06,0.9708011746406555,0.7688905596733093
1,16,1,source_value,29.06657600402832,1.00318335340127,True,13.645225960049213,6.017995161642137e-06,0.9996596409754176,1.1846990306791529e-06,0.8625894784927368,0.6409754157066345
3,16,1,source_value,29.058319091796875,1.0028983801419522,True,13.636932956073148,1.2914901933071749e-05,0.9996297916354427,1.1944858145340803e-06,0.8134404420852661,0.6284860372543335
2,16,1,source_value,29.056293487548828,1.0028284698621195,True,13.634935033712733,7.438400609141938e-06,0.9996573363781242,1.1969408029883821e-06,0.8216442465782166,0.6381053924560547
27,31,"
",assistant_prefix,28.974340438842773,1.0,True,13.553046641969576,0.0,0.99970705737617,1.299229967639621e-06,0.0,0.0
0,16,1,source_value,28.969030380249023,0.999816732373772,True,13.547724950463975,4.2747323349845986e-07,0.9996926949300826,1.3061285394050818e-06,0.980002224445343,0.8490089774131775
4,16,1,source_value,28.912403106689453,0.9978623384962273,True,13.490979494840772,3.634137615856111e-05,0.9995643322414633,1.382047798737686e-06,0.7770583033561707,0.5413678884506226
24,31,"
",assistant_prefix,28.903396606445312,0.9975514944836379,True,13.482137385158136,1.0101661359775636e-06,0.9996925188319408,1.3947302757636487e-06,0.9973312616348267,0.9454604983329773
26,31,"
",assistant_prefix,28.879331588745117,0.9967209313945146,True,13.458087501002575,1.3479918597934207e-06,0.9996969098631348,1.4287078808094456e-06,0.9921464920043945,0.8740552663803101
25,31,"
",assistant_prefix,28.872873306274414,0.9964980347772703,True,13.451614437163725,8.735187968339234e-07,0.9996929206379398,1.4379590012964671e-06,0.9961761236190796,0.929222583770752
5,16,1,source_value,28.49299430847168,0.9833871583242045,True,13.071567047770033,8.058655916789167e-05,0.9994673319287768,2.1019764363995294e-06,0.6840903759002686,0.47558942437171936
