L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
25,31,"
",assistant_prefix,29.12110710144043,1.005065401330099,True,15.568247533273297,5.924761783143474e-06,1.7331220130420968e-07,0.9994901783796314,0.9944057464599609,0.913403332233429
26,31,"
",assistant_prefix,29.10892105102539,1.0046448205599945,True,15.556091708058107,2.538377354071932e-06,1.754319953642601e-07,0.9994610203507072,0.9890462756156921,0.8518717288970947
24,31,"
",assistant_prefix,29.092451095581055,1.0040763881057995,True,15.539595957882277,5.633435844814851e-06,1.7835006783760384e-07,0.9994878659470984,0.9961509704589844,0.9327825307846069
0,16,1,source_value,29.02634620666504,1.0017948904801486,True,15.473472953022588,4.114754391734871e-07,1.9052817609481533e-07,0.9994348031018343,0.9814687967300415,0.8572854995727539
27,31,"
",assistant_prefix,28.974340438842773,1.0,True,15.421491920684753,0.0,2.0069480279659696e-07,0.9994143175191309,0.0,0.0
1,16,1,source_value,28.581066131591797,0.9864268072613741,True,15.028210385686405,2.6984487061724006e-06,2.9741053685833025e-07,0.9994680834419857,0.8744109272956848,0.6554727554321289
3,16,1,source_value,28.57471466064453,0.9862075970618988,True,15.021830211065971,1.0371617336062743e-05,2.9932027351442883e-07,0.9995172732059199,0.8332338333129883,0.6578447818756104
2,16,1,source_value,28.54132080078125,0.9850550648779904,True,14.988459053951386,2.4473841951339896e-06,3.094683905641233e-07,0.9994652470860567,0.831835150718689,0.6572649478912354
23,31,"
",assistant_prefix,27.557659149169922,0.9511056587236871,True,14.004874719142459,2.4278770417415372e-06,8.275269195469906e-07,0.9993893206207745,0.9928451180458069,0.877366304397583
4,16,1,source_value,27.53679084777832,0.9503854248520776,True,13.983993084168656,7.121879773142952e-06,8.450690512519421e-07,0.9994976624820353,0.7817955017089844,0.5711709856987
12,20,4,threshold,26.650707244873047,0.9198037588163808,True,13.09812784437258,9.832926800589888e-06,2.0494574419493568e-06,0.9993261936355639,0.9304933547973633,0.7047189474105835
22,31,"
",assistant_prefix,26.353763580322266,0.9095552541031311,True,12.80107360125692,7.901439947104635e-06,2.758133142125805e-06,0.9993614633576668,0.9897581934928894,0.8511198163032532
6,16,1,source_value,26.306800842285156,0.9079344152047881,True,12.754098908705119,2.4769278623673586e-06,2.8909133011284005e-06,0.9994171115782112,0.7281311750411987,0.5419331192970276
5,16,1,source_value,26.30536651611328,0.9078849118804622,True,12.752675589545996,2.624860346157143e-06,2.8950019645382057e-06,0.9993961141431643,0.7299916744232178,0.5268494486808777
7,16,1,source_value,25.865259170532227,0.8926953566079269,True,12.312648831681493,7.268744570501956e-06,4.4953815906133684e-06,0.9993535621182027,0.7615587115287781,0.5576114058494568
21,31,"
",assistant_prefix,25.684362411499023,0.8864520131428693,True,12.13180109662005,3.337981514504377e-05,5.386075267617142e-06,0.9992233082460499,0.9787117838859558,0.7896015048027039
20,31,"
",assistant_prefix,25.47624969482422,0.8792693572645043,True,11.923662823978527,3.63012387119278e-05,6.632075819855129e-06,0.9992114820582304,0.9796725511550903,0.8000286817550659
13,20,4,threshold,24.301952362060547,0.8387404853392811,True,10.749375645236457,2.2675106611047998e-05,2.146373602739176e-05,0.9993610069586132,0.9106968641281128,0.6834240555763245
14,20,4,threshold,24.037708282470703,0.8296205510944414,True,10.485124150599134,2.8350448353595662e-05,2.7955848633413663e-05,0.9993785327994543,0.9636005759239197,0.7305084466934204
8,16,1,source_value,22.55495262145996,0.7784457654546976,True,9.002658936549027,0.0001616773095615165,0.0001231072240863727,0.9990524128670815,0.7370520234107971,0.505111038684845
19,31,"
",assistant_prefix,20.362730026245117,0.7027849372180014,True,6.81122167276517,0.0011035804235524041,0.0011015663861755163,0.9982635948497606,0.9500374794006348,0.6691745519638062
18,31,"
",assistant_prefix,20.298885345458984,0.7005814468254973,True,6.74746121702204,0.0011749884946627837,0.001174136660637527,0.9982189590018027,0.9519240260124207,0.6886780261993408
9,16,1,source_value,19.5494327545166,0.6747153674051812,True,5.999679716333169,0.0026265504879593136,0.0024798248178346406,0.9964259812699904,0.7746017575263977,0.4791051149368286
10,16,1,source_value,16.13212776184082,0.5567729072519013,True,2.6529435411517386,0.07323839503878876,0.07044656401824913,0.9284684596168092,0.7668233513832092,0.42837440967559814
17,31,"
",assistant_prefix,16.12689781188965,0.5565924044389999,True,2.647932336471379,0.0735622011369936,0.07079757352374437,0.9282273794184023,0.9223321080207825,0.6018531918525696
11,16,1,source_value,14.799039840698242,0.5107636486820167,True,1.4994149874060771,0.25287661126541777,0.2232571253211926,0.775818157991449,0.7983129024505615,0.42671090364456177
15,20,4,threshold,12.329950332641602,0.42554723061485694,False,0.25815196108587324,1.481104152538839,0.7724898045662345,0.2272664976435469,0.8473495841026306,0.4285844564437866
16,31,"
",assistant_prefix,3.0089759826660156,0.10384967999589755,False,0.0001397666425918656,10.544031517233686,0.9994091876118893,2.632317520328915e-05,0.6038318872451782,0.22336912155151367
11,20,4,threshold,2.0798568725585938,0.07178271674375558,False,7.325794877452054e-05,11.473053122482135,0.9995018409336754,1.0396023022121448e-05,0.5399280190467834,0.14935916662216187
20,30,assistant,chat_template,1.4591560363769531,0.05036028479947105,False,1.2075823108503052e-05,12.093796382565552,0.9996547417056468,5.589419638453783e-06,0.49819478392601013,0.03461960703134537
21,30,assistant,chat_template,1.4382781982421875,0.04963972178341782,False,1.4135055074956124e-05,12.114683248160766,0.9996622245037744,5.473975350593634e-06,0.4921025037765503,0.0386725589632988
22,30,assistant,chat_template,1.1472663879394531,0.03959594491412259,False,1.3498368674517078e-05,12.405684571921169,0.9996353851941144,4.091724210459457e-06,0.42730942368507385,0.031338661909103394
19,30,assistant,chat_template,1.0641021728515625,0.03672567370765878,False,3.383345598199291e-06,12.488914539359676,0.9996824578094669,3.7653820196915877e-06,0.4249872863292694,0.022270191460847855
16,20,4,threshold,0.9697494506835938,0.03346925023989693,False,5.280579270030655e-06,12.583333603648601,0.9997199493593133,3.426482081856899e-06,0.42123475670814514,0.05675365403294563
10,20,4,threshold,0.9678382873535156,0.03340328969338813,False,5.310251971005872e-05,12.58507595205217,0.999520092832625,3.4192560799056456e-06,0.4352019131183624,0.10228311270475388
9,20,4,threshold,0.7786598205566406,0.026874117193459057,False,2.980371436025535e-05,12.774299869276472,0.9995671726546822,2.8300422516030456e-06,0.43347349762916565,0.0975247398018837
8,20,4,threshold,0.7495918273925781,0.02587088492919346,False,2.875517865513707e-05,12.803375104370069,0.999567274901768,2.7489630025106932e-06,0.42114096879959106,0.09668757766485214
18,30,assistant,chat_template,0.7237796783447266,0.024980022577992256,False,8.027244028468532e-07,12.82928227031596,0.9997039380694033,2.6792805701286414e-06,0.44428539276123047,0.01717308908700943
7,20,4,threshold,0.6298961639404297,0.021739793016858317,False,1.9750951569675492e-05,12.923064794174977,0.9996071167186672,2.438950796477852e-06,0.4030857980251312,0.0877188965678215
23,30,assistant,chat_template,0.5949783325195312,0.020534663550853705,False,1.6400664832053242e-06,12.958037285727354,0.9997145771355016,2.3555108157281333e-06,0.4251273572444916,0.01950707472860813
