L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB,prop_cos_final,prop_distimprove_final
25,31,"
",assistant_prefix,29.12110710144043,1.005065401330099,True,15.568247533273297,5.924761783143474e-06,1.7331220130420968e-07,0.9994901783796314,0.9944057464599609,0.913403332233429
26,31,"
",assistant_prefix,29.10892105102539,1.0046448205599945,True,15.556091708058107,2.538377354071932e-06,1.754319953642601e-07,0.9994610203507072,0.9890462756156921,0.8518717288970947
24,31,"
",assistant_prefix,29.092451095581055,1.0040763881057995,True,15.539595957882277,5.633435844814851e-06,1.7835006783760384e-07,0.9994878659470984,0.9961509704589844,0.9327825307846069
27,31,"
",assistant_prefix,28.974340438842773,1.0,True,15.421491920684753,0.0,2.0069480279659696e-07,0.9994143175191309,0.0,0.0
23,31,"
",assistant_prefix,27.557659149169922,0.9511056587236871,True,14.004874719142459,2.4278770417415372e-06,8.275269195469906e-07,0.9993893206207745,0.9928451180458069,0.877366304397583
12,20,4,threshold,26.650707244873047,0.9198037588163808,True,13.09812784437258,9.832926800589888e-06,2.0494574419493568e-06,0.9993261936355639,0.9304933547973633,0.7047189474105835
22,31,"
",assistant_prefix,26.353763580322266,0.9095552541031311,True,12.80107360125692,7.901439947104635e-06,2.758133142125805e-06,0.9993614633576668,0.9897581934928894,0.8511198163032532
21,31,"
",assistant_prefix,25.684362411499023,0.8864520131428693,True,12.13180109662005,3.337981514504377e-05,5.386075267617142e-06,0.9992233082460499,0.9787117838859558,0.7896015048027039
20,31,"
",assistant_prefix,25.47624969482422,0.8792693572645043,True,11.923662823978527,3.63012387119278e-05,6.632075819855129e-06,0.9992114820582304,0.9796725511550903,0.8000286817550659
13,20,4,threshold,24.301952362060547,0.8387404853392811,True,10.749375645236457,2.2675106611047998e-05,2.146373602739176e-05,0.9993610069586132,0.9106968641281128,0.6834240555763245
14,20,4,threshold,24.037708282470703,0.8296205510944414,True,10.485124150599134,2.8350448353595662e-05,2.7955848633413663e-05,0.9993785327994543,0.9636005759239197,0.7305084466934204
19,31,"
",assistant_prefix,20.362730026245117,0.7027849372180014,True,6.81122167276517,0.0011035804235524041,0.0011015663861755163,0.9982635948497606,0.9500374794006348,0.6691745519638062
18,31,"
",assistant_prefix,20.298885345458984,0.7005814468254973,True,6.74746121702204,0.0011749884946627837,0.001174136660637527,0.9982189590018027,0.9519240260124207,0.6886780261993408
17,31,"
",assistant_prefix,16.12689781188965,0.5565924044389999,True,2.647932336471379,0.0735622011369936,0.07079757352374437,0.9282273794184023,0.9223321080207825,0.6018531918525696
15,20,4,threshold,12.329950332641602,0.42554723061485694,False,0.25815196108587324,1.481104152538839,0.7724898045662345,0.2272664976435469,0.8473495841026306,0.4285844564437866
16,31,"
",assistant_prefix,3.0089759826660156,0.10384967999589755,False,0.0001397666425918656,10.544031517233686,0.9994091876118893,2.632317520328915e-05,0.6038318872451782,0.22336912155151367
11,20,4,threshold,2.0798568725585938,0.07178271674375558,False,7.325794877452054e-05,11.473053122482135,0.9995018409336754,1.0396023022121448e-05,0.5399280190467834,0.14935916662216187
20,30,assistant,chat_template,1.4591560363769531,0.05036028479947105,False,1.2075823108503052e-05,12.093796382565552,0.9996547417056468,5.589419638453783e-06,0.49819478392601013,0.03461960703134537
21,30,assistant,chat_template,1.4382781982421875,0.04963972178341782,False,1.4135055074956124e-05,12.114683248160766,0.9996622245037744,5.473975350593634e-06,0.4921025037765503,0.0386725589632988
22,30,assistant,chat_template,1.1472663879394531,0.03959594491412259,False,1.3498368674517078e-05,12.405684571921169,0.9996353851941144,4.091724210459457e-06,0.42730942368507385,0.031338661909103394
19,30,assistant,chat_template,1.0641021728515625,0.03672567370765878,False,3.383345598199291e-06,12.488914539359676,0.9996824578094669,3.7653820196915877e-06,0.4249872863292694,0.022270191460847855
16,20,4,threshold,0.9697494506835938,0.03346925023989693,False,5.280579270030655e-06,12.583333603648601,0.9997199493593133,3.426482081856899e-06,0.42123475670814514,0.05675365403294563
10,20,4,threshold,0.9678382873535156,0.03340328969338813,False,5.310251971005872e-05,12.58507595205217,0.999520092832625,3.4192560799056456e-06,0.4352019131183624,0.10228311270475388
9,20,4,threshold,0.7786598205566406,0.026874117193459057,False,2.980371436025535e-05,12.774299869276472,0.9995671726546822,2.8300422516030456e-06,0.43347349762916565,0.0975247398018837
8,20,4,threshold,0.7495918273925781,0.02587088492919346,False,2.875517865513707e-05,12.803375104370069,0.999567274901768,2.7489630025106932e-06,0.42114096879959106,0.09668757766485214
18,30,assistant,chat_template,0.7237796783447266,0.024980022577992256,False,8.027244028468532e-07,12.82928227031596,0.9997039380694033,2.6792805701286414e-06,0.44428539276123047,0.01717308908700943
7,20,4,threshold,0.6298961639404297,0.021739793016858317,False,1.9750951569675492e-05,12.923064794174977,0.9996071167186672,2.438950796477852e-06,0.4030857980251312,0.0877188965678215
23,30,assistant,chat_template,0.5949783325195312,0.020534663550853705,False,1.6400664832053242e-06,12.958037285727354,0.9997145771355016,2.3555108157281333e-06,0.4251273572444916,0.01950707472860813
20,26,.,content,0.5445060729980469,0.01879269949724503,False,6.703799753590643e-07,13.008520048818989,0.9997091567260894,2.2395611451866743e-06,0.3847116231918335,0.012826717458665371
6,20,4,threshold,0.4877300262451172,0.016833170966379277,False,2.2436287177791377e-05,13.065228256228512,0.9995940631770824,2.11570639349563e-06,0.4050779938697815,0.093967966735363
18,26,.,content,0.47682952880859375,0.01645695886727968,False,3.6772540196136e-06,13.076272295543891,0.9997421054066752,2.093079324979006e-06,0.3201529085636139,0.011887889355421066
21,26,.,content,0.41222190856933594,0.014227136919283052,False,4.4470089127521933e-07,13.14080832869616,0.9997083735254056,1.9620600780357813e-06,0.3591681718826294,0.010711821727454662
17,26,.,content,0.4057579040527344,0.014004042815372547,False,2.84473784471219e-06,13.147346654792972,0.9997386146333601,1.949477185140277e-06,0.22382239997386932,0.007350532803684473
19,26,.,content,0.38072776794433594,0.013140170308551193,False,1.2413399444955652e-06,13.172320440025711,0.9997284519226838,1.9012677963993589e-06,0.21435590088367462,0.006494310684502125
5,20,4,threshold,0.37833213806152344,0.01305748922430463,False,1.571874274139009e-05,13.174628480221463,0.9996184591217053,1.8965098317762137e-06,0.38622140884399414,0.08461630344390869
22,26,.,content,0.37383079528808594,0.012902133046898672,False,3.9535302976068686e-07,13.179196917500333,0.9997042524728463,1.8881542147771435e-06,0.3838808238506317,0.011686570011079311
18,20,4,threshold,0.36715126037597656,0.012671600278561526,False,2.7792553352397653e-05,13.185943495661778,0.9996158998243617,1.8754184884141252e-06,0.173181414604187,0.009598608128726482
16,21,?,question_end,0.35886383056640625,0.01238557375702386,False,2.6186541243824166e-05,13.194054126245023,0.9996669451901397,1.8600352928687478e-06,0.22597846388816833,0.027513554319739342
17,20,4,threshold,0.3217620849609375,0.011105070213421865,False,2.005540698783775e-05,13.231379465321078,0.999672152519705,1.7922985919620194e-06,0.24101345241069794,0.015573455952107906
15,21,?,question_end,0.31657981872558594,0.010926213122738818,False,1.3106923167205237e-05,13.236460773181498,0.9996913816138541,1.7830687462279095e-06,0.23755019903182983,0.03141119331121445
