L,P,frag,role,semantic_transfer,transfer_fraction,argmax_is_target,kl_from_base,kl_from_other,p_ansA,p_ansB
17,31,"
",assistant_prefix,20.81692326068878,0.7184606429481231,False,24.294228975572622,17.028586456736043,2.8007871964318835e-11,3.997314197287056e-08
27,31,"
",assistant_prefix,11.332939863204956,0.3911371127541563,False,22.967289194250995,25.185854096587583,1.0563267272505174e-10,1.1466867285514363e-11
16,31,"
",assistant_prefix,18.657839864492416,0.6439435577101131,False,22.045815256927003,16.94041174709344,2.6592494864434354e-10,4.3809596453110776e-08
10,31,"
",assistant_prefix,14.549999356269836,0.5021684406235603,False,19.348965963018127,18.351011739647088,3.9433861353193846e-09,1.068235505139263e-08
24,31,"
",assistant_prefix,13.642202019691467,0.4708373620613237,False,18.610023361146155,18.521148267039038,8.248477834696224e-09,9.014053703959688e-09
2,31,"
",assistant_prefix,6.886832565069199,0.2376872936799198,False,18.52235125654824,25.18595867290872,9.000572479306808e-09,1.1455044631412708e-11
15,31,"
",assistant_prefix,18.18172264099121,0.6275111828470454,False,18.316692643037186,13.685755372994139,1.1066748709395725e-08,1.13254413248279e-06
14,31,"
",assistant_prefix,13.239197254180908,0.4569283391325293,False,18.25998252656172,18.57174924078363,1.1706460558958705e-08,8.549666805507117e-09
6,31,"
",assistant_prefix,15.205231875181198,0.5247826747696104,False,18.190222029088634,16.536430417514893,1.2549056303234472e-08,6.545949320129666e-08
26,31,"
",assistant_prefix,16.8141850233078,0.5803129516890343,False,18.11701571308295,14.855358958107423,1.3493902171590548e-08,3.517698405544139e-07
2,14,Is,question,14.930418968200684,0.5152979754522757,False,17.65077075455013,16.27309740256317,2.1574960632534086e-08,8.549916112137771e-08
20,31,"
",assistant_prefix,14.455073595046997,0.4988922396890401,False,17.530553918314986,16.626251601085496,2.4277645688660686e-08,5.981065219532825e-08
12,31,"
",assistant_prefix,6.4029765129089355,0.2209878263294358,False,17.158050298802543,24.305361268336867,3.528685447294642e-08,2.7682390136957052e-11
19,31,"
",assistant_prefix,12.689859867095947,0.43796889506012776,False,16.575536998237055,17.43762494297629,6.318006995963252e-08,2.663970984039637e-08
25,31,"
",assistant_prefix,11.798054933547974,0.4071897670440703,False,16.026156631062435,17.78091405757097,1.092866096107938e-07,1.888906144059547e-08
22,31,"
",assistant_prefix,19.779316544532776,0.6826494147910536,False,15.879843431372286,9.651420600266642,1.265664522313899e-07,6.399999043017645e-05
9,31,"
",assistant_prefix,13.402705192565918,0.46257153707624543,False,15.797487262850833,15.946743603113468,1.3735896784769646e-07,1.1813843075618019e-07
18,31,"
",assistant_prefix,11.99824047088623,0.4140988298322568,False,15.7713655966714,17.324951044678734,1.4115068412502798e-07,2.980340522648756e-08
1,31,"
",assistant_prefix,14.971473023295403,0.5167148862248048,False,15.66782395782257,14.248612161468362,1.5639645585407095e-07,6.457557745510872e-07
13,31,"
",assistant_prefix,13.550221934914589,0.46766282613112625,False,15.622214302239769,15.62285010718176,1.6387571252585467e-07,1.6334824740858748e-07
